(Number of Powers   32768 )
(Number of Trafos   752.000 )
(Flux    517.90893600 )
(Average Poisson level      0.00400195 )
(Renormalization const  0.20076209E-02 )
(Background rate   10.000000     )
(Count rate per PCU   220.91411     )
(Count rate * VLE rate per PCU   18698.281     )
       0.000000 0.26201402E-03 0.13913371E-03
       0.062500 0.36201402E-03 0.15913371E-03
       0.125000 0.84650223E-04 0.14901930E-03
       0.187500 0.25989412E-03 0.15540978E-03
       0.250000 0.60190996E-04 0.14812734E-03
       0.312500 -0.35160734E-04 0.14465023E-03
       0.375000 0.13803739E-03 0.15096612E-03
       0.437500 -0.26751501E-04 0.14495688E-03
       0.500000 0.28142229E-04 0.14695864E-03
       0.562500 0.59032413E-05 0.14614768E-03
       0.625000 -0.73810857E-05 0.14566326E-03
       0.687500 0.37771626E-03 0.15970631E-03
       0.750000 0.55383392E-04 0.14795203E-03
       0.812500 -0.87253618E-04 0.14275061E-03
       0.875000 -0.81058402E-04 0.14297651E-03
       0.937500 0.11673105E-03 0.15018915E-03
       1.000000 -0.16682842E-03 0.13984881E-03
       1.062500 0.64991895E-04 0.14830242E-03
       1.125000 0.22975637E-04 0.14677024E-03
       1.187500 -0.19900093E-03 0.13867559E-03
       1.250000 0.31317788E-03 0.15735283E-03
       1.312500 0.10975658E-03 0.14993483E-03
       1.375000 0.35744574E-03 0.15896712E-03
       1.437500 -0.36468657E-05 0.14579942E-03
       1.500000 0.52075676E-03 0.16492246E-03
       1.562500 0.17049396E-03 0.15214967E-03
       1.625000 0.18542414E-03 0.15269413E-03
       1.687500 -0.12310554E-03 0.14144320E-03
       1.750000 0.17941416E-03 0.15247497E-03
       1.812500 0.10804636E-03 0.14987246E-03
       1.875000 0.25722131E-03 0.15531231E-03
       1.937500 0.27642635E-03 0.15601264E-03
       2.000000 0.13153534E-03 0.15072901E-03
       2.062500 -0.28999499E-04 0.14487491E-03
       2.125000 0.10936936E-03 0.14992068E-03
       2.187500 0.28522353E-03 0.15633345E-03
       2.250000 0.18294711E-03 0.15260380E-03
       2.312500 -0.11129474E-03 0.14187391E-03
       2.375000 0.21857143E-03 0.15390289E-03
       2.437500 0.31367186E-03 0.15737086E-03
       2.500000 0.18909590E-03 0.15282803E-03
       2.562500 0.28461493E-04 0.14697030E-03
       2.625000 -0.16256818E-03 0.14000417E-03
       2.687500 0.19127905E-03 0.15290764E-03
       2.750000 0.14124485E-03 0.15108309E-03
       2.812500 0.47129481E-04 0.14765105E-03
       2.875000 0.25948774E-03 0.15539496E-03
       2.937500 0.10423866E-03 0.14973359E-03
       3.000000 -0.34443470E-04 0.14467639E-03
       3.062500 0.15807337E-03 0.15169675E-03
       3.125000 0.21843021E-03 0.15389774E-03
       3.187500 0.17113249E-03 0.15217297E-03
       3.250000 0.26663355E-03 0.15565554E-03
       3.312500 0.97139739E-04 0.14947474E-03
       3.375000 0.41297343E-03 0.16099200E-03
       3.437500 0.24883673E-03 0.15500655E-03
       3.500000 0.74226089E-04 0.14863916E-03
       3.562500 0.58278772E-04 0.14805762E-03
       3.625000 0.10334166E-03 0.14970088E-03
       3.687500 0.11745717E-03 0.15021564E-03
       3.750000 0.20069465E-03 0.15325099E-03
       3.812500 0.97781858E-05 0.14628898E-03
       3.875000 -0.18578098E-03 0.13915768E-03
       3.937500 0.93336836E-04 0.14933605E-03
       4.000000 0.17818307E-03 0.15243008E-03
       4.062500 0.94330762E-05 0.14627640E-03
       4.125000 0.23441631E-03 0.15448070E-03
       4.187500 0.10679898E-03 0.14982697E-03
       4.250000 0.86524633E-04 0.14908766E-03
       4.312500 0.59129819E-04 0.14808866E-03
       4.375000 0.22958621E-03 0.15430457E-03
       4.437500 0.39132607E-04 0.14735943E-03
       4.500000 -0.18762835E-03 0.13909031E-03
       4.562500 0.92812232E-04 0.14931693E-03
       4.625000 0.51256917E-04 0.14780156E-03
       4.687500 0.59616610E-04 0.14810640E-03
       4.750000 -0.78080457E-05 0.14564769E-03
       4.812500 0.13770854E-03 0.15095413E-03
       4.875000 0.25967704E-04 0.14687935E-03
       4.937500 0.32691285E-03 0.15785369E-03
       5.000000 -0.88703462E-04 0.14269773E-03
       5.062500 0.17765655E-03 0.15241090E-03
       5.125000 0.16771394E-03 0.15204831E-03
       5.187500 0.41897314E-04 0.14746025E-03
       5.250000 0.17297005E-03 0.15223998E-03
       5.312500 0.56947632E-04 0.14800909E-03
       5.375000 0.76526027E-04 0.14872302E-03
       5.437500 -0.36042655E-06 0.14591927E-03
       5.500000 -0.96581629E-04 0.14241044E-03
       5.562500 0.24893149E-03 0.15501001E-03
       5.625000 -0.11087616E-03 0.14188918E-03
       5.687500 0.43004919E-04 0.14750063E-03
       5.750000 0.18668205E-03 0.15274002E-03
       5.812500 0.19853926E-03 0.15317238E-03
       5.875000 0.11841879E-03 0.15025069E-03
       5.937500 0.11508592E-03 0.15012916E-03
       6.000000 -0.20294935E-05 0.14585840E-03
       6.062500 0.24698960E-03 0.15493920E-03
       6.125000 -0.19395065E-04 0.14522516E-03
       6.187500 0.17023932E-03 0.15214040E-03
       6.250000 0.14497644E-03 0.15121917E-03
       6.312500 0.16005883E-03 0.15176916E-03
       6.375000 0.24840306E-03 0.15499075E-03
       6.437500 0.34945412E-03 0.15867570E-03
       6.500000 -0.74567133E-05 0.14566050E-03
       6.562500 0.17435215E-04 0.14656821E-03
       6.625000 0.70754650E-05 0.14619043E-03
       6.687500 0.16948496E-03 0.15211289E-03
       6.750000 0.34344988E-03 0.15845674E-03
       6.812500 -0.62601735E-04 0.14364957E-03
       6.875000 0.26007553E-03 0.15541639E-03
       6.937500 -0.46214293E-04 0.14424714E-03
       7.000000 0.16410393E-03 0.15191668E-03
       7.062500 0.28286138E-03 0.15624730E-03
       7.125000 0.12032527E-03 0.15032022E-03
       7.187500 0.23563688E-03 0.15452520E-03
       7.250000 0.39341181E-03 0.16027867E-03
       7.312500 0.78736928E-04 0.14880365E-03
       7.375000 -0.11981191E-03 0.14156332E-03
       7.437500 0.32055107E-03 0.15762172E-03
       7.500000 -0.13083531E-04 0.14545531E-03
       7.562500 0.20931616E-03 0.15356539E-03
       7.625000 -0.26005995E-03 0.13644900E-03
       7.687500 -0.88804940E-04 0.14269403E-03
       7.750000 0.36488520E-04 0.14726301E-03
       7.812500 -0.14362615E-03 0.14069490E-03
       7.875000 0.20826265E-03 0.15352697E-03
       7.937500 0.13164831E-03 0.15073313E-03
       8.000000 -0.17411044E-05 0.14586891E-03
       8.062500 -0.26771770E-03 0.13616975E-03
       8.125000 0.13764872E-03 0.15095194E-03
       8.187500 -0.90472804E-05 0.14560248E-03
       8.250000 0.15226203E-03 0.15148483E-03
       8.312500 -0.27064970E-03 0.13606284E-03
       8.375000 0.14902490E-03 0.15136680E-03
       8.437500 0.11640030E-03 0.15017710E-03
       8.500000 -0.61619299E-04 0.14368538E-03
       8.562500 -0.33746073E-04 0.14470181E-03
       8.625000 0.21890050E-04 0.14673066E-03
       8.687500 0.44170201E-05 0.14609347E-03
       8.750000 0.73508585E-04 0.14861298E-03
       8.812500 0.80526617E-04 0.14886892E-03
       8.875000 0.11063133E-04 0.14633583E-03
       8.937500 0.17503591E-03 0.15231532E-03
       9.000000 0.72600582E-04 0.14857987E-03
       9.062500 -0.16224700E-04 0.14534075E-03
       9.125000 -0.42538231E-04 0.14438119E-03
       9.187500 0.28951634E-04 0.14698815E-03
       9.250000 -0.21343665E-03 0.13814917E-03
       9.312500 0.51000598E-05 0.14611839E-03
       9.375000 -0.77728400E-04 0.14309795E-03
       9.437500 0.17958839E-03 0.15248133E-03
       9.500000 0.76625347E-05 0.14621184E-03
       9.562500 0.59372018E-04 0.14809749E-03
       9.625000 -0.14632696E-04 0.14539882E-03
       9.687500 0.60214688E-06 0.14595437E-03
       9.750000 0.24987874E-03 0.15504454E-03
       9.812500 0.20855080E-03 0.15353748E-03
       9.875000 0.24199771E-03 0.15475716E-03
       9.937500 -0.79828736E-04 0.14302136E-03
      10.000000 0.19353302E-03 0.15298983E-03
      10.062500 0.18697737E-03 0.15275078E-03
      10.125000 0.18940272E-03 0.15283923E-03
      10.187500 0.12510415E-03 0.15049448E-03
      10.250000 -0.26253221E-04 0.14497506E-03
      10.312500 0.19167393E-03 0.15292205E-03
      10.375000 0.19729428E-03 0.15312698E-03
      10.437500 0.11999404E-03 0.15030814E-03
      10.500000 0.14553790E-03 0.15123963E-03
      10.562500 0.13405211E-03 0.15082078E-03
      10.625000 -0.10051521E-03 0.14226700E-03
      10.687500 0.44606495E-04 0.14755904E-03
      10.750000 -0.93898532E-04 0.14250829E-03
      10.812500 0.11816989E-03 0.15024163E-03
      10.875000 0.15338830E-03 0.15152591E-03
      10.937500 0.12626297E-03 0.15053675E-03
      11.000000 0.11226856E-03 0.15002642E-03
      11.062500 -0.18187995E-03 0.13929993E-03
      11.125000 0.32344597E-03 0.15772728E-03
      11.187500 0.59974642E-04 0.14811948E-03
      11.250000 0.16204620E-03 0.15184162E-03
      11.312500 -0.19147218E-03 0.13895013E-03
      11.375000 -0.82743500E-04 0.14291506E-03
      11.437500 0.11401135E-03 0.15008997E-03
      11.500000 0.43637244E-03 0.16184528E-03
      11.562500 -0.15528449E-03 0.14026977E-03
      11.625000 0.19197643E-03 0.15293309E-03
      11.687500 0.14567527E-03 0.15124463E-03
      11.750000 0.18886184E-03 0.15281950E-03
      11.812500 -0.17476284E-03 0.13955946E-03
      11.875000 0.25553643E-03 0.15525086E-03
      11.937500 0.29156139E-03 0.15656457E-03
      12.000000 0.24810390E-03 0.15497985E-03
      12.062500 -0.11397209E-03 0.14177627E-03
      12.125000 -0.44629469E-04 0.14430494E-03
      12.187500 0.62513427E-04 0.14821204E-03
      12.250000 0.17336971E-03 0.15225456E-03
      12.312500 0.31732136E-04 0.14708955E-03
      12.375000 0.75552438E-04 0.14868753E-03
      12.437500 0.54270520E-04 0.14791146E-03
      12.500000 0.92739238E-05 0.14627060E-03
      12.562500 0.24251369E-03 0.15477597E-03
      12.625000 -0.60447554E-04 0.14372812E-03
      12.687500 -0.36109428E-04 0.14461564E-03
      12.750000 0.41202307E-04 0.14743491E-03
      12.812500 -0.69217218E-04 0.14340832E-03
      12.875000 0.28198495E-03 0.15621533E-03
      12.937500 -0.55880235E-04 0.14389466E-03
      13.000000 -0.26498770E-04 0.14496609E-03
      13.062500 -0.30549499E-03 0.13479215E-03
      13.125000 0.51803538E-04 0.14782150E-03
      13.187500 0.64196851E-04 0.14827342E-03
      13.250000 0.23190002E-03 0.15438894E-03
      13.312500 0.87135391E-04 0.14910991E-03
      13.375000 0.27756699E-03 0.15605424E-03
      13.437500 0.85098720E-04 0.14903565E-03
      13.500000 0.21291731E-04 0.14670884E-03
      13.562500 0.13436037E-03 0.15083203E-03
      13.625000 0.23924545E-03 0.15465679E-03
      13.687500 0.18373689E-03 0.15263261E-03
      13.750000 -0.92241673E-04 0.14256869E-03
      13.812500 0.23626128E-04 0.14679396E-03
      13.875000 0.17372248E-03 0.15226741E-03
      13.937500 0.69024558E-04 0.14844947E-03
