(Number of Powers   32768 )                                                     
(Number of Trafos   752.000 )                                                   
(Flux    517.90893600 )                                                         
(Average Poisson level      0.00400195 )                                        
(Renormalization const  0.20076209E-02 )                                        
(Background rate   10.000000     )                                              
(Count rate per PCU   220.91411     )                                           
(Count rate * VLE rate per PCU   18698.281     )                                
  0.625000E-01 0.36201402E-03 0.15913371E-03
  0.125000E+00 0.84650223E-04 0.14901930E-03
  0.187500E+00 0.25989412E-03 0.15540978E-03
  0.250000E+00 0.60190996E-04 0.14812734E-03
  0.312500E+00 -.35160734E-04 0.14465023E-03
  0.375000E+00 0.13803739E-03 0.15096612E-03
  0.437500E+00 -.26751501E-04 0.14495688E-03
  0.500000E+00 0.28142229E-04 0.14695864E-03
  0.562500E+00 0.59032413E-05 0.14614768E-03
  0.625000E+00 -.73810857E-05 0.14566326E-03
  0.687500E+00 0.37771626E-03 0.15970631E-03
  0.750000E+00 0.55383392E-04 0.14795203E-03
  0.812500E+00 -.87253618E-04 0.14275061E-03
  0.875000E+00 -.81058402E-04 0.14297651E-03
  0.937500E+00 0.11673105E-03 0.15018915E-03
  0.100000E+01 -.16682842E-03 0.13984881E-03
  0.106250E+01 0.64991895E-04 0.14830242E-03
  0.112500E+01 0.22975637E-04 0.14677024E-03
  0.118750E+01 -.19900093E-03 0.13867559E-03
  0.125000E+01 0.31317788E-03 0.15735283E-03
  0.131250E+01 0.10975658E-03 0.14993483E-03
  0.140625E+01 0.17689944E-03 0.10785177E-03
  0.153125E+01 0.34562536E-03 0.11219285E-03
  0.165625E+01 0.31159303E-04 0.10406930E-03
  0.178125E+01 0.14373026E-03 0.10689992E-03
  0.190625E+01 0.26682383E-03 0.11007027E-03
  0.203125E+01 0.51267922E-04 0.10453226E-03
  0.215625E+01 0.19729644E-03 0.10830092E-03
  0.228125E+01 0.35826186E-04 0.10418268E-03
  0.240625E+01 0.26612164E-03 0.11005872E-03
  0.253125E+01 0.10877869E-03 0.10601494E-03
  0.265625E+01 0.14355435E-04 0.10366040E-03
  0.281250E+01 0.14928736E-03 0.87416323E-04
  0.300000E+01 0.75956188E-04 0.85870262E-04
  0.318750E+01 0.21873209E-03 0.88863046E-04
  0.337500E+01 0.25298330E-03 0.89621521E-04
  0.356250E+01 0.78615507E-04 0.85910164E-04
  0.375000E+01 0.10931000E-03 0.86571148E-04
  0.393750E+01 0.28579640E-04 0.84918946E-04
  0.415625E+01 0.10929325E-03 0.74973461E-04
  0.440625E+01 0.35055069E-04 0.73655050E-04
  0.465625E+01 0.48969425E-04 0.73862037E-04
  0.490625E+01 0.10047140E-03 0.74850315E-04
  0.515625E+01 0.14005946E-03 0.75527023E-04
  0.543750E+01 0.57092624E-04 0.66219785E-04
  0.575000E+01 0.87153778E-04 0.66709981E-04
  0.606250E+01 0.10217806E-03 0.66949724E-04
  0.637500E+01 0.17908715E-03 0.68210909E-04
  0.668750E+01 0.94968760E-04 0.66853856E-04
  0.703125E+01 0.16946478E-03 0.62121653E-04
  0.740625E+01 0.14485342E-03 0.61791798E-04
  0.778125E+01 -.19348592E-04 0.59337166E-04
  0.818750E+01 -.15745736E-04 0.54991491E-04
  0.862500E+01 0.28768172E-04 0.55559904E-04
  0.906250E+01 0.22073841E-05 0.55208453E-04
  0.953125E+01 0.51230349E-04 0.52272011E-04
  0.100312E+02 0.12993549E-03 0.53289237E-04
  0.105312E+02 0.79843128E-04 0.52643860E-04
  0.110625E+02 0.75800483E-04 0.49601702E-04
  0.116250E+02 0.10218255E-03 0.49940474E-04
  0.122188E+02 0.78777586E-04 0.47076544E-04
  0.128438E+02 0.63856278E-05 0.46257348E-04
  0.134688E+02 0.12322908E-03 0.47585116E-04
  0.141250E+02 0.53540676E-04 0.44615088E-04
  0.148125E+02 0.13173254E-03 0.45477038E-04
  0.155312E+02 0.39284700E-04 0.42589527E-04
  0.163125E+02 0.61954866E-04 0.41134215E-04
  0.171250E+02 0.81920698E-04 0.41319858E-04
  0.179688E+02 0.10680949E-03 0.40086568E-04
  0.188438E+02 -.40337045E-05 0.38977818E-04
  0.197500E+02 0.10904644E-03 0.38731687E-04
  0.207188E+02 0.69724745E-04 0.37139362E-04
  0.217500E+02 0.48793114E-04 0.35849444E-04
  0.228125E+02 0.94814553E-04 0.36267011E-04
  0.239062E+02 0.12286815E-03 0.35483652E-04
  0.250625E+02 0.11110338E-03 0.34431720E-04
  0.262812E+02 0.93442875E-04 0.33411205E-04
  0.275625E+02 0.83090446E-04 0.32530123E-04
  0.289062E+02 0.13535804E-03 0.32179374E-04
  0.303125E+02 0.77402343E-04 0.31040156E-04
  0.317812E+02 0.11661489E-03 0.30673211E-04
  0.333125E+02 0.86651184E-04 0.29840225E-04
  0.349062E+02 0.13418471E-03 0.29596995E-04
  0.365625E+02 0.10164004E-03 0.28816796E-04
  0.383125E+02 0.58311667E-04 0.27512524E-04
  0.401562E+02 0.12040290E-03 0.27462094E-04
  0.420938E+02 0.44378344E-05 0.25840352E-04
  0.441250E+02 0.73277348E-04 0.25884829E-04
  0.462500E+02 0.25762485E-04 0.24841100E-04
  0.484688E+02 0.40614690E-04 0.24578592E-04
  0.507812E+02 0.22419232E-04 0.23825502E-04
  0.532188E+02 -.10826146E-05 0.23077888E-04
  0.557812E+02 -.10686379E-04 0.22474911E-04
  0.584688E+02 0.13449311E-04 0.22085740E-04
  0.612812E+02 0.64069982E-05 0.21564339E-04
  0.642188E+02 0.25276522E-05 0.21091924E-04
  0.672812E+02 0.21346186E-04 0.20758831E-04
  0.704688E+02 -.25741841E-04 0.20118372E-04
  0.738125E+02 -.66277285E-05 0.19657475E-04
  0.773125E+02 0.25799685E-04 0.19467139E-04
  0.809688E+02 0.14085198E-04 0.18919462E-04
  0.848125E+02 0.32278691E-04 0.18544262E-04
  0.888438E+02 0.12507901E-04 0.18028790E-04
  0.930625E+02 0.45397803E-04 0.17776396E-04
  0.974688E+02 0.39654497E-05 0.17224367E-04
  0.102094E+03 0.19879178E-05 0.16759441E-04
  0.106938E+03 0.78490524E-06 0.16433136E-04
  0.112000E+03 0.67189617E-05 0.16058228E-04
  0.117312E+03 0.88542010E-05 0.15691206E-04
  0.122875E+03 0.23267854E-04 0.15396987E-04
  0.128688E+03 0.21125417E-04 0.15059701E-04
  0.134781E+03 0.26944072E-04 0.14699090E-04
  0.141188E+03 0.50024253E-04 0.14428947E-04
  0.147875E+03 0.37183425E-04 0.14117333E-04
  0.154875E+03 0.17943799E-04 0.13678285E-04
  0.162219E+03 0.86241198E-05 0.13359477E-04
  0.169906E+03 0.17410039E-05 0.13016389E-04
  0.177969E+03 0.55321507E-05 0.12726279E-04
  0.186406E+03 0.28687215E-04 0.12519981E-04
  0.195219E+03 -.86676446E-05 0.12141832E-04
  0.204438E+03 0.13835261E-04 0.11925006E-04
  0.214094E+03 0.13106418E-05 0.11622260E-04
  0.224219E+03 0.19060803E-04 0.11388632E-04
  0.234844E+03 0.23763650E-05 0.11076711E-04
  0.245969E+03 0.13220846E-05 0.10828431E-04
  0.257594E+03 0.39773099E-05 0.10603651E-04
  0.269750E+03 -.85963748E-05 0.10330299E-04
  0.282500E+03 0.58132905E-05 0.10115811E-04
  0.295844E+03 0.24230445E-04 0.99502704E-05
  0.309812E+03 0.30158444E-06 0.96508647E-05
  0.324469E+03 0.25343900E-06 0.94280967E-05
  0.339812E+03 0.46137229E-05 0.92272849E-05
  0.355875E+03 0.23583182E-05 0.90104813E-05
  0.372688E+03 -.23070504E-05 0.88012139E-05
  0.390281E+03 -.28027976E-05 0.85998336E-05
  0.408719E+03 0.97126385E-05 0.84229696E-05
  0.428031E+03 0.35091324E-06 0.82154147E-05
  0.448250E+03 -.41858007E-05 0.80178943E-05
  0.469406E+03 0.96865087E-05 0.78693984E-05
  0.491562E+03 -.87155540E-05 0.76486795E-05
  0.514781E+03 -.45934980E-05 0.74825143E-05
  0.539094E+03 -.23622097E-05 0.73150645E-05
  0.564531E+03 0.91328748E-05 0.71760073E-05
  0.591156E+03 0.13157506E-04 0.70163578E-05
  0.619062E+03 0.24480485E-04 0.68726154E-05
  0.648281E+03 0.30413714E-04 0.67300002E-05
  0.678875E+03 0.38044152E-05 0.65302174E-05
  0.710906E+03 0.86737773E-05 0.63934372E-05
  0.744438E+03 -.27108576E-05 0.62280969E-05
  0.779562E+03 0.88720435E-05 0.61032920E-05
  0.816344E+03 0.33528124E-05 0.59569006E-05
  0.854844E+03 0.16455129E-04 0.58422038E-05
  0.895156E+03 0.20682084E-04 0.57135953E-05
  0.937375E+03 0.31216201E-04 0.55986761E-05
  0.981594E+03 0.14380033E-04 0.54474031E-05
  0.102791E+04 0.12402044E-04 0.53207445E-05
  0.107638E+04 0.51581233E-05 0.51925872E-05
  0.112712E+04 0.12138154E-05 0.50673352E-05
  0.118028E+04 -.80537575E-05 0.49410241E-05
  0.123594E+04 0.75777798E-05 0.48477755E-05
  0.129421E+04 0.44731505E-05 0.47332856E-05
  0.135524E+04 -.53817571E-05 0.46140512E-05
  0.141915E+04 -.40299977E-06 0.45149759E-05
  0.148605E+04 -.87093719E-06 0.44122030E-05
  0.155611E+04 -.57452512E-05 0.43057316E-05
  0.162949E+04 -.28324423E-05 0.42108136E-05
  0.170633E+04 -.11438956E-05 0.41160924E-05
  0.178680E+04 -.50155768E-05 0.40189825E-05
  0.187104E+04 -.23815522E-06 0.39321872E-05
  0.195926E+04 0.22974446E-05 0.38451899E-05
  0.202618E+04 -.41094881E-05 0.55259279E-05
